title|website|description|created_by|last_modified_by
Aerospike|https://aerospike.com/|Aerospike|h5radar|h5radar
Airflow|https://airflow.apache.org/|Airflow|h5radar|h5radar
Amazon MemoryDB||Amazon MemoryDB|h5radar|h5radar
Amazon Redshift||Amazon Redshift|h5radar|h5radar
Amazon SageMaker Feature Store||Amazon SageMaker Feature Store|h5radar|h5radar
Amazon SageMaker||Amazon SageMaker|h5radar|h5radar
Apache Cassandra||Apache Cassandra|h5radar|h5radar
AWS Athena||AWS Athena|h5radar|h5radar
AWS CloudFormation||AWS CloudFormation|h5radar|h5radar
AWS CloudFront||AWS CloudFront|h5radar|h5radar
AWS Data Pipeline||AWS Data Pipeline|h5radar|h5radar
AWS DynamoDB||AWS DynamoDB|h5radar|h5radar
AWS EMR||AWS EMR|h5radar|h5radar
AWS Glue||AWS Glue|h5radar|h5radar
AWS Kinesis||AWS Kinesis|h5radar|h5radar
AWS Lambda||AWS Lambda|h5radar|h5radar
AWS S3||AWS S3|h5radar|h5radar
AWS SNS||AWS SNS|h5radar|h5radar
AWS SQS||AWS SQS|h5radar|h5radar
Clojure||Clojure|h5radar|h5radar
Consul||Consul|h5radar|h5radar
CouchBase||CouchBase|h5radar|h5radar
Dart||Dart|h5radar|h5radar
dbt||dbt|h5radar|h5radar
Docker||Docker|h5radar|h5radar
Druid||Druid|h5radar|h5radar
Elasticsearch||Elasticsearch|h5radar|h5radar
etcd||etcd|h5radar|h5radar
Exasol||Exasol|h5radar|h5radar
Flink||Flink|h5radar|h5radar
Go||Go|h5radar|h5radar
Google BigQuery||Google BigQuery|h5radar|h5radar
GraphQL||GraphQL|h5radar|h5radar
Hadoop||Hadoop|h5radar|h5radar
Haskell||Haskell|h5radar|h5radar
Hazelcast||Hazelcast|h5radar|h5radar
HBase||HBase|h5radar|h5radar
HDFS||HDFS|h5radar|h5radar
Java||Java|h5radar|h5radar
JavaScript||JavaScript|h5radar|h5radar
Kafka||Kafka|h5radar|h5radar
Kotlin||Kotlin|h5radar|h5radar
Kubernetes||Kubernetes|h5radar|h5radar
Memcached||Memcached|h5radar|h5radar
MongoDB||MongoDB|h5radar|h5radar
MySQL||MySQL|h5radar|h5radar
Nakadi|https://nakadi.io|Nakadi|h5radar|h5radar
OpenAPI (Swagger)||OpenAPI (Swagger)|h5radar|h5radar
OpenTracing||OpenTracing|h5radar|h5radar
Oracle DB||Oracle DB|h5radar|h5radar
PostgreSQL||PostgreSQL|h5radar|h5radar
Presto||Presto|h5radar|h5radar
Python||Python|h5radar|h5radar
R||R|h5radar|h5radar
RabbitMQ||RabbitMQ|h5radar|h5radar
Redis||Redis|h5radar|h5radar
RocksDB||RocksDB|h5radar|h5radar
Rust||Rust|h5radar|h5radar
Scala||Scala|h5radar|h5radar
Skipper||Skipper|h5radar|h5radar
Slurm||Slurm|h5radar|h5radar
Solr||Solr|h5radar|h5radar
Spark||Spark|h5radar|h5radar
STUPS||STUPS|h5radar|h5radar
Swift||Swift|h5radar|h5radar
TypeScript||TypeScript|h5radar|h5radar
WebAssembly||WebAssembly|h5radar|h5radar
YARN||YARN|h5radar|h5radar
ZMON||ZMON|h5radar|h5radar
ZooKeeper||ZooKeeper|h5radar|h5radar
